Step,Multiplier_0_deg,Multiplier_120_deg,Multiplier_240_deg,Multiplier_Res,Alpha_Res
0,0.815655023,0.362632036,0.335726371,0.467057412,2.859611556
1,0.808021544,0.353672794,0.328902198,0.467226774,2.631568636
2,0.807240385,0.360301341,0.327727179,0.464084313,3.484957153
3,0.806084889,0.365863948,0.328249989,0.460182289,4.059156227
4,0.800285405,0.359053897,0.327049569,0.458072962,3.46890713
5,0.796995848,0.349619059,0.32516937,0.460089124,2.6377769
6,0.799195218,0.34546284,0.325642727,0.463960057,2.120205308
7,0.799857837,0.345504264,0.32858406,0.463045589,1.813458496
8,0.792497578,0.346859736,0.332179853,0.45315615,1.607625794
9,0.782773813,0.346618739,0.334582894,0.442295834,1.350383768
10,0.779703387,0.342110828,0.333978734,0.441714752,0.913549642
11,0.784779727,0.341073461,0.330085138,0.449301215,1.213611166
12,0.78883065,0.349050042,0.324774226,0.452407263,2.663507753
13,0.783587432,0.356242906,0.32007986,0.446525687,4.021874651
14,0.772189792,0.359447188,0.318035903,0.434929366,4.729841825
15,0.762622541,0.358738475,0.320662911,0.424205376,4.458222805
16,0.759090829,0.354207825,0.32772542,0.41875272,3.139571677
17,0.757286018,0.345946298,0.332317839,0.418320483,1.616771042
18,0.751678022,0.334148626,0.325213329,0.422067986,1.050519643
19,0.744820107,0.320290677,0.311185337,0.429154551,1.052834601
20,0.744389175,0.306712394,0.304599061,0.438737265,0.239011025
21,0.745650226,0.295769905,0.311721444,0.442120426,-1.790547995
22,0.730049485,0.289819341,0.319205727,0.426297275,-3.422513659
23,0.72543749,0.291094602,0.324253223,0.418749361,-3.932208592
24,0.741372858,0.299018324,0.326163522,0.429425889,-3.138160961
25,0.761671016,0.310201879,0.324236214,0.444618123,-1.5664338
26,0.769265141,0.321134412,0.318229184,0.449590383,0.320640767
27,0.757770431,0.328305065,0.310232819,0.438780709,2.044137021
28,0.752032957,0.328250428,0.303077704,0.436913102,2.860018081
29,0.76405298,0.320039933,0.299594725,0.454580611,2.232254794
30,0.776477231,0.306498368,0.302614767,0.471932648,0.408330219
31,0.77011252,0.290754412,0.310138627,0.469965917,-2.0470456
32,0.741119342,0.275936749,0.293511261,0.456649046,-1.910004648
33,0.721305728,0.265166108,0.271421206,0.453044458,-0.68510464
34,0.734336094,0.259877057,0.269002305,0.469962862,-0.96350699
35,0.762476831,0.257742124,0.277513486,0.495145169,-1.981727338
36,0.783771931,0.256054487,0.284742478,0.513974268,-2.770647624
37,0.794515079,0.253901997,0.292468486,0.522398631,-3.665706235
38,0.798995423,0.251683088,0.301733963,0.524082456,-4.744185833
39,0.798987664,0.249746744,0.307251186,0.522865715,-5.465417096
40,0.795460587,0.2481688,0.30169565,0.522588383,-5.089046057
41,0.789088239,0.246962731,0.278967624,0.526852646,-3.015650539
42,0.791793331,0.246046402,0.271743672,0.533362779,-2.391352742
43,0.803366287,0.245234285,0.28552924,0.539115119,-3.711300903
44,0.807095131,0.244335693,0.280978451,0.545362099,-3.335814152
45,0.807227132,0.243159941,0.265006183,0.553467529,-1.958946038
46,0.815095801,0.241519113,0.260227768,0.564454943,-1.644849647
47,0.812017281,0.239408567,0.268290535,0.558727877,-2.565812239
48,0.787245299,0.237118056,0.271570535,0.533735618,-3.20460134
49,0.787004564,0.234963904,0.267023714,0.536729357,-2.965191438
50,0.81122825,0.233262434,0.258654817,0.565697205,-2.227830423
51,0.834381793,0.23232945,0.25363176,0.59168886,-1.78672191
52,0.8333552,0.232313477,0.255806801,0.589646183,-1.977390563
53,0.81499252,0.232956853,0.26091739,0.568571262,-2.440873319
54,0.824724973,0.233941455,0.263712881,0.576474661,-2.563407041
55,0.861529829,0.234949158,0.26223153,0.6133947,-2.20751073
56,0.885565591,0.235661839,0.257043398,0.63948112,-1.659302677
57,0.870066335,0.235819509,0.249318911,0.627606021,-1.067347439
58,0.841217793,0.235381173,0.242244822,0.602434121,-0.565334924
59,0.836698602,0.234357397,0.239389765,0.599840853,-0.416287563
60,0.863866941,0.232758748,0.241587836,0.626740293,-0.699024291
61,0.895478176,0.230595791,0.246557316,0.657047045,-1.205488918
62,0.904660658,0.227930068,0.251846983,0.665094732,-1.784617476
63,0.886850513,0.225125424,0.255478465,0.647082709,-2.328172732
64,0.876900572,0.222656718,0.257308875,0.637624366,-2.697609592
65,0.893758329,0.220998982,0.257640636,0.655207398,-2.776000036
66,0.915006426,0.220627246,0.256776174,0.677028897,-2.650308118
67,0.917242606,0.222016539,0.255017912,0.679326843,-2.411208109
68,0.906189946,0.22529722,0.252668274,0.667628136,-2.034704951
69,0.902805186,0.228493272,0.250029684,0.663805781,-1.610062532
70,0.918370576,0.229690439,0.247404565,0.679996143,-1.292716795
71,0.939847832,0.229180368,0.245095342,0.70284513,-1.123640531
72,0.951050648,0.227604529,0.243390714,0.715683615,-1.094550475
73,0.947915345,0.225604392,0.242347465,0.714086646,-1.163502638
74,0.936479718,0.223821428,0.241829227,0.703827189,-1.269648204
75,0.923029565,0.222775287,0.241693737,0.690989317,-1.35865185
76,0.913600683,0.222498332,0.241798734,0.681657107,-1.405067479
77,0.913983637,0.222901109,0.242001955,0.681732823,-1.390382485
78,0.923666106,0.223894161,0.242161138,0.690819614,-1.312179508
79,0.934367625,0.225388033,0.242134022,0.700756681,-1.185844723
80,0.938566557,0.227293268,0.241778343,0.704142501,-1.020790052
81,0.93655403,0.229520409,0.24095184,0.701387776,-0.808742176
82,0.931648982,0.231980002,0.239513514,0.695932806,-0.537142852
83,0.926309797,0.234582591,0.237448747,0.690298591,-0.206023631
84,0.921407479,0.237238718,0.234975304,0.685303271,0.163883432
85,0.917648359,0.239858928,0.232335909,0.68158208,0.547688817
86,0.915746459,0.242353766,0.229773288,0.679770247,0.918347081
87,0.916422483,0.244633775,0.227530166,0.680501736,1.247228671
88,0.919376372,0.246609498,0.225849268,0.68338353,1.507547583
89,0.92143116,0.248191481,0.224973319,0.68514388,1.681750947
90,0.919121908,0.249290267,0.225161046,0.68221636,1.75526369
91,0.912920616,0.2498164,0.226965331,0.674819985,1.680482979
92,0.906742569,0.249680424,0.231197217,0.666495992,1.376178625
93,0.903365168,0.248895264,0.237443294,0.660270378,0.860652796
94,0.901212337,0.247921962,0.241706211,0.656420323,0.46986135
95,0.899945904,0.247344125,0.243621257,0.654471154,0.282255328
96,0.899667839,0.247745365,0.243712605,0.65394818,0.305995028
97,0.900453821,0.249709294,0.242504426,0.65437671,0.546333763
98,0.902351042,0.253819522,0.240520891,0.655282052,1.007057547
99,0.904738233,0.25931688,0.238286173,0.656189516,1.590499834
100,0.904277517,0.259614025,0.236321448,0.656619704,1.760456219
101,0.898963064,0.252449905,0.23478543,0.655523923,1.337226211
102,0.890745927,0.247087804,0.23313288,0.650747816,1.064125838
103,0.881876726,0.252923873,0.230794236,0.640304545,1.71516472
104,0.871493388,0.265672705,0.227849541,0.625590399,3.001371024
105,0.857325557,0.272304682,0.224794219,0.610164962,3.866561747
106,0.840211548,0.265398363,0.222130452,0.597623021,3.594817462
107,0.828304675,0.254619159,0.220360422,0.591559358,2.874805867
108,0.830881319,0.252746205,0.219986313,0.59519162,2.732143568
109,0.848038674,0.269914681,0.221432374,0.603826689,3.987262545
110,0.862143926,0.295920018,0.224227773,0.605262881,5.887704446
111,0.855928338,0.310708662,0.227329325,0.591334646,7.013965613
112,0.838113637,0.3061809,0.229684534,0.574016596,6.627328137
113,0.823715141,0.278946785,0.230259479,0.570671814,4.237195682
