Step,Multiplier_0_deg,Multiplier_120_deg,Multiplier_240_deg,Multiplier_Res,Alpha_Res
85,0.886996911,0.446373863,0.165168953,0.630182701,22.73344167
86,0.889668731,0.453938629,0.166731649,0.630470695,23.2355705
87,0.90075347,0.454933123,0.179250468,0.63060419,22.24713134
88,0.902002011,0.461638227,0.181254735,0.629289997,22.69727754
89,0.892477927,0.452821845,0.18050766,0.622235545,22.2721253
90,0.884530788,0.485447679,0.179101272,0.612677016,25.659616
91,0.874205393,0.488150484,0.17728626,0.604719454,26.43562901
92,0.882031602,0.489878699,0.175313314,0.613264225,26.37317222
93,0.888080665,0.490849528,0.173433123,0.620188221,26.31062889
94,0.891635946,0.491280175,0.171896376,0.624626209,26.28369192
95,0.896115316,0.491387845,0.170953763,0.629421006,26.16054129
96,0.899414206,0.478844034,0.170786632,0.633512736,24.90538304
97,0.900437817,0.458410339,0.17109094,0.636351945,23.01793874
98,0.905728332,0.486047624,0.172291691,0.637379004,25.23356717
99,0.894274976,0.487905231,0.184734267,0.616642936,25.19999632
100,0.859779924,0.494194948,0.187274957,0.583144573,27.1167741
101,0.847488795,0.485055445,0.186361097,0.573439657,26.81408641
102,0.847453112,0.506699666,0.184580245,0.574140344,29.07017695
103,0.847668765,0.492322862,0.182257117,0.576707958,27.75013613
104,0.899150641,0.491404177,0.179716429,0.624896798,25.59191829
105,0.859621902,0.49148657,0.177282897,0.591537864,27.38721064
106,0.841680432,0.49167579,0.175281238,0.577363251,28.33208269
107,0.829555356,0.492009608,0.174036168,0.567780612,29.01241241
108,0.820736847,0.492525799,0.173798084,0.560285468,29.51510304
109,0.812815144,0.493262135,0.174235447,0.553026303,29.9727355
110,0.806971872,0.494256389,0.175986459,0.546456454,30.29119222
111,0.81534392,0.495546334,0.190318271,0.541337108,29.22894869
112,0.811618236,0.497169744,0.189907305,0.538429449,29.61765319
113,0.816329533,0.499164391,0.189049144,0.543252188,29.62822785
114,0.816698219,0.501568048,0.187839036,0.544608478,29.9262952
115,0.789507013,0.504418488,0.186372232,0.522589921,31.80701147
116,0.793456339,0.507753484,0.18474398,0.527490283,32.02653902
117,0.787870013,0.51161081,0.18304953,0.524442313,32.85820905
118,0.780115695,0.516028239,0.181384131,0.519715475,33.89223483
119,0.771649895,0.521043542,0.179843032,0.514517587,35.05074235
120,0.763994993,0.526694494,0.178521483,0.510056469,36.239604
121,0.758763265,0.533018868,0.177514733,0.507539939,37.34433247
122,0.757252296,0.540054436,0.176918031,0.507853728,38.26094515
123,0.77806904,0.547838971,0.193329448,0.510197647,36.99573162
124,0.780568663,0.556410247,0.192888844,0.513693671,37.79608937
125,0.766658194,0.621068294,0.191947672,0.517509957,45.89870348
126,0.76859028,0.623489025,0.190611986,0.520814657,46.03798996
127,0.76849096,0.625118245,0.188987836,0.522775927,46.26038594
128,0.752926511,0.626112612,0.187181276,0.514203342,47.66770967
129,0.72733241,0.626628787,0.185298359,0.499356926,49.94180129
130,0.728098359,0.626823426,0.183445136,0.501740996,49.9327092
131,0.732299964,0.626813948,0.18172766,0.506141761,49.60169283
132,0.746151251,0.606935471,0.180251984,0.510725862,46.34560218
133,0.759376747,0.575677589,0.17912416,0.51365994,41.95795004
134,0.747780709,0.566657616,0.178450241,0.50380935,41.85985311
135,0.740914854,0.567221417,0.190321686,0.487532386,42.02877259
136,0.736055001,0.569490844,0.189902854,0.484826169,42.69088103
137,0.703537124,0.632870651,0.189008187,0.48308781,52.72204894
138,0.699567517,0.632801383,0.187738499,0.481927189,53.10910628
139,0.695535527,0.632556997,0.186194601,0.480954188,53.48855575
140,0.690989537,0.632082623,0.184477307,0.47977869,53.89619913
141,0.68543648,0.631323391,0.182687428,0.477995326,54.37360585
142,0.678484019,0.630224431,0.180925776,0.475269647,54.95503541
143,0.671382032,0.628730872,0.179293163,0.472210139,55.51365487
144,0.665923202,0.626651575,0.177890403,0.469630101,55.84705119
145,0.705679103,0.53909911,0.176818307,0.468342832,42.05959699
146,0.730920974,0.516998284,0.176177687,0.484593495,37.52347118
147,0.761907611,0.517435261,0.18731591,0.499450267,34.91865217
148,0.714197239,0.518888803,0.186963648,0.461678976,38.50851551
149,0.679515464,0.612075167,0.186211122,0.463280451,52.75754313
150,0.676137633,0.633624475,0.185143043,0.471178656,55.51839102
151,0.686302451,0.639383889,0.183844124,0.480719356,55.15130531
152,0.695393656,0.641616554,0.182399076,0.48833191,54.52736965
153,0.694640252,0.6428197,0.180892612,0.489897255,54.74394877
154,0.67166431,0.643310703,0.179409443,0.478708241,57.05977
155,0.667481495,0.643406937,0.178034283,0.477864973,57.49939976
156,0.679079372,0.626273515,0.176851842,0.47801715,54.5101991
157,0.714804649,0.55032169,0.175946834,0.478319413,42.67412229
158,0.673267106,0.632537172,0.175403971,0.478799223,55.77519025
159,0.712999634,0.600652125,0.187317124,0.479484039,48.29236991
160,0.733293241,0.543396116,0.186969293,0.480401319,39.98111225
161,0.709776086,0.610278579,0.18622035,0.481578521,49.69273696
162,0.711844929,0.607493474,0.185155008,0.483043103,49.21717551
163,0.715837617,0.600848225,0.183857977,0.484822527,48.14694092
164,0.73667262,0.591530567,0.182413971,0.497817866,45.37477553
165,0.749643913,0.580728238,0.180907702,0.505890227,43.19208462
166,0.748081498,0.569628975,0.179423881,0.50372453,42.1333039
167,0.74459607,0.559420515,0.178047222,0.500356459,41.30653357
168,0.740781229,0.551290595,0.176862435,0.497045045,40.72159705
169,0.738200274,0.546426951,0.175954233,0.495049317,40.39809585
170,0.734813835,0.557179143,0.175407329,0.495095668,41.89736997
171,0.752254254,0.551623442,0.187308048,0.496055765,39.49642522
172,0.755635266,0.541037948,0.186711464,0.497631168,38.07066373
173,0.758876364,0.527142249,0.185460553,0.499626247,36.31703508
174,0.761482322,0.51165593,0.183756957,0.501845375,34.46128716
175,0.763230539,0.496298581,0.181802317,0.504092922,32.70411054
176,0.76377306,0.482789789,0.179798274,0.505856703,31.24647846
177,0.763421299,0.47284914,0.177946471,0.507040698,30.24467533
