Step,Multiplier_0_deg,Multiplier_120_deg,Multiplier_240_deg,Multiplier_Res,Alpha_Res
0,0.299937861,0.811745524,0.343174682,0.491617301,124.3681813
1,0.292727816,0.79949431,0.33741837,0.485964865,124.5679812
2,0.290155233,0.788267849,0.334818692,0.477350574,124.6477694
3,0.288427273,0.783104124,0.333002464,0.473963943,124.6717814
4,0.287699832,0.780516699,0.331790952,0.472317312,124.6370816
5,0.291208819,0.781843029,0.330899287,0.472042117,124.1758346
6,0.300241407,0.786140561,0.330082491,0.4716871,123.1407356
7,0.30768118,0.789842863,0.329364823,0.471693807,122.2816032
8,0.308324407,0.790371977,0.328774623,0.472154735,122.1496547
9,0.306871131,0.790101833,0.32834023,0.472861825,122.2534338
10,0.304585105,0.789688215,0.328089984,0.473788156,122.4624124
11,0.301963493,0.789571792,0.328388578,0.474947416,122.7618006
12,0.299503459,0.791628322,0.332470893,0.47649726,123.4350907
13,0.297702168,0.794865457,0.337835589,0.478360914,124.1666461
14,0.297054147,0.797468515,0.340287389,0.480259427,124.4713233
15,0.297146897,0.805570394,0.339397709,0.488669907,124.2941715
16,0.297398066,0.819644881,0.337406347,0.503436392,123.9464081
17,0.297797444,0.832143588,0.335003544,0.516748642,123.5749494
18,0.298334818,0.838221453,0.332098942,0.523821339,123.2000103
19,0.298999978,0.843035436,0.327794854,0.530224755,122.6956823
20,0.299782712,0.848543672,0.322773304,0.537634466,122.1223433
21,0.30067281,0.854056867,0.317765379,0.54503882,121.5562758
22,0.301660059,0.858846655,0.313502166,0.55136093,121.0657892
23,0.302734248,0.862184673,0.310714749,0.55550317,120.7128663
24,0.303885167,0.864348401,0.312959172,0.55598177,120.809853
25,0.305102604,0.863668808,0.328687335,0.547155197,122.1393142
26,0.306376348,0.850211799,0.325990662,0.534298381,121.821863
27,0.307696187,0.841749339,0.320458096,0.527787929,121.1998894
28,0.30905191,0.858681538,0.313456332,0.547440706,120.3992166
29,0.310433306,0.89414498,0.306352065,0.585762958,119.6542786
30,0.311830163,0.918866847,0.300511993,0.612774168,119.0834682
31,0.313232271,0.911660056,0.297302809,0.606549416,118.6967563
32,0.314629418,0.890210797,0.301517797,0.582247923,118.8825471
33,0.316011392,0.875489324,0.314410711,0.560279987,119.8582401
34,0.317367983,0.877242412,0.317079224,0.560018864,119.974415
35,0.318688979,0.899703151,0.315798529,0.582464776,119.7537647
36,0.319964169,0.926889977,0.313133304,0.610369909,119.4446808
37,0.321183342,0.940435196,0.30710452,0.626409936,118.8847086
38,0.322336286,0.93658716,0.288502827,0.631847348,117.3420716
39,0.323412789,0.925864544,0.29300229,0.618218225,117.5584453
40,0.324402642,0.916241364,0.297045144,0.605980802,117.7593115
41,0.325492096,0.928067932,0.29072735,0.620688828,117.219718
42,0.326606968,0.95245045,0.277392743,0.651845462,116.2510539
43,0.327279076,0.97043217,0.26751668,0.675021345,115.6026585
44,0.326863092,0.96877136,0.270825304,0.671682647,115.8566778
45,0.324903167,0.955170575,0.278839637,0.654516001,116.5057058
46,0.321971457,0.941906819,0.286698947,0.638302968,117.2569819
47,0.31868891,0.940204152,0.287041146,0.637928166,117.5376022
48,0.315676476,0.956382604,0.276638897,0.661089927,117.0686675
49,0.313555104,0.976401663,0.264239641,0.688829558,116.4452976
